panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ANPS,ANPS_Spain,W1,2019,W2,2020,1.437798072044647,1.6273972602739726,1.010958904109589,1.7424657534246575,0.3011867926075007,20,10-90,20.675925925925927,20,18,33,2.017811823537917,female,1,108,0.6974789915966386,LOTTERY_ALLOCB,0.39582179729066486,0.4068599490586581,0.38404283834933645,0.31945647235255487,0.4068599490586581,0.319821288723074,0.6679543883522384,0.7039582029577129,0.27748730570741115,0.45314979763940433,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4583937684662909,1.6273972602739726,1.010958904109589,1.7424657534246575,0.29367267345339837,20,10-90,20.784313725490197,20,18,33,2.032438179517491,all,0.7058823529411765,153,0.7150837988826816,LOTTERY_ALLOCB,0.3967833419124042,0.4161330590702428,0.38374355301425483,0.336577178852302,0.4161330590702428,0.3308739967641093,0.6538419123218564,0.6449673771719467,0.25597167088477396,0.33803222299043467,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4661187214611873,1.6273972602739726,1.021917808219178,1.7342465753424658,0.299937651201244,10,10-19,18.466666666666665,18,18,19,0.5163977794943223,male,0,15,0.7692307692307692,RISK_GEN_ORD10A,0.7412543977650012,0.7219675727451241,0.7083333333333335,0.7667126467955051,0.7219675727451241,0.7313487847913411,0.2644153462280144,0.34814738889517344,-0.8219381934053749,0.021988649294235538,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5011281224818693,1.63013698630137,1.0164383561643835,1.7424657534246575,0.2905521932681642,10,10-19,18.58823529411765,19,18,19,0.4995541684356422,female,1,34,0.7875,RISK_GEN_ORD10A,0.5822171578275059,0.5735804181058067,0.5072000000000003,0.5969497471608738,0.5735804181058067,0.5177504093802017,0.22556409729891216,0.3635910321782334,-1.1419270833333341,0.20045148350760228,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4904109589041097,1.63013698630137,1.0164383561643835,1.7424657534246575,0.29076451727069313,10,10-19,18.551020408163264,19,18,19,0.5025445456953676,all,0.6938775510204082,49,0.7822222222222223,RISK_GEN_ORD10A,0.6685566966779445,0.6680493450754402,0.6060121522225778,0.6699375783874064,0.6680493450754402,0.599843498510228,0.24922218434516039,0.36603248355001095,-0.6232872051800842,0.21449370457761172,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4858235106721887,1.63013698630137,1.0136986301369864,1.7424657534246575,0.28148139574463543,10,20-29,21.674418604651162,21,20,26,1.6578949681327553,male,0,43,0.7971698113207547,RISK_GEN_ORD10A,0.7087810410193037,0.7182118802069277,0.7090140023337222,0.6845178339697967,0.7182118802069277,0.6832698083323041,0.29555683741704847,0.33203360840428436,-0.5052179985665168,-0.34042503429388526,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4066027397260277,1.6246575342465754,1.010958904109589,1.7397260273972603,0.30534880283508115,10,20-29,21.27,21,20,26,1.4344604447933613,female,1,100,0.7767857142857143,RISK_GEN_ORD10A,0.5613584832015188,0.5502052251020852,0.5560981702366837,0.5290367732296329,0.5502052251020852,0.5236005049195093,0.31562279630826956,0.3407739158108228,-0.38643925731673756,-0.1970223234434526,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4304243701503976,1.6273972602739726,1.010958904109589,1.7424657534246575,0.2996124567135377,10,20-29,21.39160839160839,21,20,26,1.5106894472810313,all,0.6993006993006993,143,0.7833333333333333,RISK_GEN_ORD10A,0.602630014573755,0.5994997705415838,0.5982951783956233,0.5715217109190576,0.5994997705415838,0.5660659450712716,0.30867653299195436,0.3373108990459751,-0.4181088527122305,-0.23891074596411777,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4807274444969296,1.63013698630137,1.0136986301369864,1.7424657534246575,0.2838188466582286,10,10-90,20.844827586206897,20,18,26,2.0244273536244375,male,0,58,0.7913669064748201,RISK_GEN_ORD10A,0.7191454980318939,0.7122034064026539,0.7136308628845943,0.7061094927444351,0.7122034064026539,0.6991284633993833,0.29373992463831095,0.33610902336632686,-0.49741311023968204,-0.17892292501205453,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4276002029426689,1.6273972602739726,1.010958904109589,1.7424657534246575,0.3042546324001334,10,10-90,20.68148148148148,20,18,33,2.0209789701500682,female,1,135,0.7811993517017828,RISK_GEN_ORD10A,0.5581467938654281,0.5524000175605177,0.5437893945527138,0.5357774238009826,0.5524000175605177,0.5200722298493471,0.29303223776924237,0.3446123132515052,-0.50445732728927,-0.10732405266108594,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
